令和５年,人口動態統計,,
保管統計表　離婚　第６表　離婚件数，離婚の種類・同居期間・夫妻が親権を行う子の数別
 注：親権を行う子（親が離婚した未成年の子）とは、令和４年３月までは20歳未満の未婚の子、令和４年４月以降は18歳未満の子をいう。
,,夫妻総数,０人,１人,２人,３人,４人,５人,６人,７人,８人,９人,１０人以上
,５年未満,530,166,260,88,15,1,-,-,-,-,-,-
,　１年未満,123,54,60,7,1,1,-,-,-,-,-,-
,　１～２年,105,41,56,8,-,-,-,-,-,-,-,-
,　２～３年,117,25,71,20,1,-,-,-,-,-,-,-
,　３～４年,91,22,33,29,7,-,-,-,-,-,-,-
,　４～５年,94,24,40,24,6,-,-,-,-,-,-,-
,５～１０年,377,72,117,135,48,4,1,-,-,-,-,-
,１０～１５年,274,75,71,76,44,5,3,-,-,-,-,-
,１５～２０年,194,75,48,46,20,3,2,-,-,-,-,-
,２０～２５年,146,99,33,9,3,2,-,-,-,-,-,-
,２５～３０年,111,103,7,1,-,-,-,-,-,-,-,-
,３０～３５年,60,60,-,-,-,-,-,-,-,-,-,-
,３５年以上　　,112,111,1,-,-,-,-,-,-,-,-,-
,不　　詳,270,164,64,34,8,-,-,-,-,-,-,-
